time,vertex,state,state_id,buffer_occupation,production_step
12,5,working,2,0.0,4
12,6,working,2,0.0,4
12,14,working,2,0.0,4
12,18,working,2,0.0,4
12,19,starved,0,0.0,4
12,20,starved,0,0.0,4
12,27,starved,0,0.0,4
13,0,working,2,0.0,0
13,9,working,2,0.0,0
13,12,working,2,0.0,0
13,13,working,2,0.0,0
13,24,working,2,0.0,0
13,28,working,2,0.0,0
13,1,working,2,0.6666666666666666,1
13,8,working,2,0.6666666666666666,1
13,10,working,2,0.6666666666666666,1
13,16,working,2,0.3333333333333333,1
13,21,working,2,0.3333333333333333,1
13,26,working,2,0.3333333333333333,1
13,2,working,2,0.0,2
13,7,working,2,0.0,2
13,11,working,2,0.0,2
13,17,working,2,0.0,2
13,22,starved,0,0.0,2
13,25,working,2,0.0,2
13,3,working,2,0.6666666666666666,3
13,15,working,2,0.6666666666666666,3
13,23,working,2,0.3333333333333333,3
13,29,working,2,0.3333333333333333,3
13,4,working,2,0.0,4
13,5,working,2,0.0,4
13,6,working,2,0.0,4
13,14,working,2,0.0,4
13,18,starved,0,0.0,4
13,19,starved,0,0.0,4
13,20,starved,0,0.0,4
13,27,starved,0,0.0,4
14,0,working,2,0.0,0
14,9,working,2,0.0,0
14,12,working,2,0.0,0
14,13,working,2,0.0,0
14,24,working,2,0.0,0
14,28,working,2,0.0,0
14,1,working,2,0.6666666666666666,1
14,8,working,2,0.6666666666666666,1
14,10,working,2,0.6666666666666666,1
14,16,working,2,0.6666666666666666,1
14,21,working,2,0.6666666666666666,1
14,26,working,2,0.3333333333333333,1
14,2,working,2,0.3333333333333333,2
14,7,working,2,0.3333333333333333,2
14,11,working,2,0.0,2
14,17,working,2,0.0,2
14,22,working,2,0.0,2
14,25,working,2,0.0,2
14,3,working,2,0.6666666666666666,3
14,15,working,2,0.6666666666666666,3
14,23,working,2,0.6666666666666666,3
14,29,working,2,0.6666666666666666,3
14,4,working,2,0.0,4
14,5,working,2,0.0,4
14,6,working,2,0.0,4
14,14,working,2,0.0,4
14,18,starved,0,0.0,4
14,19,starved,0,0.0,4
14,20,starved,0,0.0,4
14,27,starved,0,0.0,4
15,0,working,2,0.0,0
15,9,working,2,0.0,0
15,12,working,2,0.0,0
15,13,working,2,0.0,0
15,24,working,2,0.0,0
15,28,working,2,0.0,0
15,1,working,2,0.6666666666666666,1
15,8,working,2,0.6666666666666666,1
15,10,working,2,0.6666666666666666,1
15,16,working,2,0.6666666666666666,1
15,21,working,2,0.6666666666666666,1
15,26,working,2,0.3333333333333333,1
15,2,working,2,0.3333333333333333,2
15,7,working,2,0.3333333333333333,2
15,11,working,2,0.0,2
15,17,working,2,0.0,2
15,22,working,2,0.0,2
15,25,working,2,0.0,2
15,3,working,2,0.6666666666666666,3
15,15,working,2,0.6666666666666666,3
15,23,working,2,0.6666666666666666,3
15,29,working,2,0.6666666666666666,3
15,4,working,2,0.0,4
15,5,working,2,0.0,4
15,6,working,2,0.0,4
15,14,working,2,0.0,4
15,18,starved,0,0.0,4
15,19,starved,0,0.0,4
15,20,starved,0,0.0,4
