case_id,activity_id,time_stamp,time_stamp_out,product_id
16,3,2023-09-24 10:45:35,2023-09-24 10:52:35,16
16,18,2023-09-24 10:52:35,2023-09-24 10:57:35,16
16,17,2023-09-24 10:57:35,2023-09-24 11:45:35,16
16,31,2023-09-24 11:45:35,2023-09-24 12:02:35,16
16,7,2023-09-24 12:02:35,2023-09-24 12:11:35,16
17,37,2023-09-24 09:39:35,2023-09-24 09:50:35,17
17,1,2023-09-24 09:50:35,2023-09-24 10:26:35,17
17,2,2023-09-24 10:26:35,2023-09-24 11:07:35,17
17,22,2023-09-24 11:07:35,2023-09-24 11:13:35,17
17,29,2023-09-24 11:13:35,2023-09-24 11:25:35,17
17,21,2023-09-24 11:25:35,2023-09-24 11:34:35,17
17,6,2023-09-24 11:34:35,2023-09-24 12:10:35,17
17,24,2023-09-24 12:10:35,2023-09-24 12:15:35,17
18,0,2023-09-24 09:40:35,2023-09-24 10:09:35,18
18,27,2023-09-24 10:09:35,2023-09-24 10:52:35,18
18,9,2023-09-24 10:52:35,2023-09-24 11:14:35,18
18,3,2023-09-24 11:14:35,2023-09-24 11:21:35,18
18,12,2023-09-24 11:21:35,2023-09-24 11:45:35,18
18,17,2023-09-24 11:45:35,2023-09-24 12:26:35,18
18,31,2023-09-24 12:26:35,2023-09-24 13:04:35,18
18,24,2023-09-24 13:04:35,2023-09-24 13:11:35,18
19,11,2023-09-24 09:42:35,2023-09-24 09:58:35,19
19,14,2023-09-24 09:58:35,2023-09-24 11:40:35,19
19,9,2023-09-24 11:40:35,2023-09-24 11:48:35,19
19,22,2023-09-24 11:48:35,2023-09-24 11:54:35,19
19,18,2023-09-24 11:54:35,2023-09-24 12:01:35,19
19,5,2023-09-24 12:01:35,2023-09-24 12:12:35,19
19,31,2023-09-24 12:12:35,2023-09-24 12:33:35,19
19,7,2023-09-24 12:33:35,2023-09-24 12:54:35,19
20,37,2023-09-24 09:43:35,2023-09-24 09:54:35,20
20,14,2023-09-24 09:54:35,2023-09-24 11:21:35,20
20,9,2023-09-24 11:21:35,2023-09-24 11:29:35,20
20,26,2023-09-24 11:29:35,2023-09-24 11:41:35,20
20,4,2023-09-24 11:41:35,2023-09-24 12:04:35,20
